state,n_species
Alabama,127
Alaska,12
Arizona,64
Arkansas,35
California,301
Colorado,33
Connecticut,11
Delaware,10
Florida,131
Georgia,70
Hawaii,501
Idaho,16
Illinois,33
Indiana,27
Iowa,19
Kansas,17
Kentucky,45
Louisiana,22
Maine,12
Maryland,17
Massachusetts,16
Michigan,26
Minnesota,21
Mississippi,46
Missouri,39
Montana,14
Nebraska,14
Nevada,39
New Hampshire,10
New Jersey,16
New Mexico,52
New York,22
North Carolina,61
North Dakota,9
Ohio,27
Oklahoma,21
Oregon,56
Pennsylvania,16
Rhode Island,9
South Carolina,38
South Dakota,15
Tennessee,94
Texas,97
Utah,43
Vermont,5
Virginia,71
Washington,47
West Virginia,27
Wisconsin,23
Wyoming,12
American Samoa,26
Puerto Rico,71
Virgin Islands,11
